vcc 0 0 0 vcc_model vcc_type global_master
adc/adc/ifreezelogic/fmw21/mg14.qpsb 156 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg15.qna 157 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg15.qpa 158 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg16.qna 159 200 680 n n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg16.qpa 160 200 680 p p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg17.qna 161 200 680 n n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg17.qpa 162 200 680 p p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg18.qna 163 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg18.qnb 164 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg18.qpa 165 200 2040 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg18.qpb 166 200 2040 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg19.qna 167 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg19.qnb 168 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg19.qpa 169 200 2040 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg19.qpb 170 200 2040 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg2.qns 171 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg2.qpsb 172 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg20.qns 173 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg20.qpsb 174 200 1360 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg21.qna 175 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg21.qpa 176 200 1360 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg22.qna 177 200 680 nsvt n ec0fmw203al1n04x5
