vcc 0 0 0 vcc_model vcc_type global_master
qnb3[7]/mqn5 178 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qppxxdum[0]/mqp1 179 200 1360 pavt p e8xlth4hdtn1200pa1unx
qnb3[8]/mqn2 180 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[8]/mqn3 181 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[8]/mqn4 182 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[8]/mqn5 183 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qppxxdum[1]/mqp1 184 200 1360 pavt p e8xlth4hdtn1200pa1unx
qpcb1[0]/mqp2 185 200 2040 pavt p e8xltp620tn2000pa1unx
qpcb1[0]/mqp3 186 200 2040 pavt p e8xltp620tn2000pa1unx
qnb3[9]/mqn2 187 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[9]/mqn3 188 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[9]/mqn4 189 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[9]/mqn5 190 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qpcb1[1]/mqp2 191 200 2040 pavt p e8xltp620tn2000pa1unx
qpcb1[1]/mqp3 192 200 2040 pavt p e8xltp620tn2000pa1unx
qpbcb0[0]/mqp2 193 200 2040 pavt p e8xltp620tn2000pa1unx
qpbcb0[0]/mqp3 194 200 2040 pavt p e8xltp620tn2000pa1unx
qpin[0]/mqp2 195 200 2040 pavt p e8xltp620tn2000pa1unx
qpin[0]/mqp3 196 200 2040 pavt p e8xltp620tn2000pa1unx
qpbcb0[1]/mqp2 197 200 2040 pavt p e8xltp620tn2000pa1unx
qpbcb0[1]/mqp3 198 200 2040 pavt p e8xltp620tn2000pa1unx
qpin[1]/mqp2 199 200 2040 pavt p e8xltp620tn2000pa1unx
qpin[1]/mqp3 200 200 2040 pavt p e8xltp620tn2000pa1unx
qncb1[0]/mqn0 201 200 2040 navt n e8xltp620tn2000na1unx
qncb1[0]/mqn1 202 200 2040 navt n e8xltp620tn2000na1unx
qpin[2]/mqp2 203 200 2040 pavt p e8xltp620tn2000pa1unx
qpin[2]/mqp3 204 200 2040 pavt p e8xltp620tn2000pa1unx
qnbcb1[0]/mqn0 205 200 2040 navt n e8xltp620tn2000na1unx
qnbcb1[0]/mqn1 206 200 2040 navt n e8xltp620tn2000na1unx
qncb1[1]/mqn0 207 200 2040 navt n e8xltp620tn2000na1unx
qncb1[1]/mqn1 208 200 2040 navt n e8xltp620tn2000na1unx
qpin[3]/mqp2 209 200 2040 pavt p e8xltp620tn2000pa1unx
qpin[3]/mqp3 210 200 2040 pavt p e8xltp620tn2000pa1unx
qnbcb1[1]/mqn0 211 200 2040 navt n e8xltp620tn2000na1unx
qnbcb1[1]/mqn1 212 200 2040 navt n e8xltp620tn2000na1unx
qncben0/mqn0 213 200 1360 navt n e8xltp420tn2000na1unx
qncben0/mqn1 214 200 1360 navt n e8xltp420tn2000na1unx
qncben1/mqn0 215 200 1360 navt n e8xltp420tn2000na1unx
qncben1/mqn1 216 200 1360 navt n e8xltp420tn2000na1unx
qnobcb01dum/mqn0 217 200 1360 navt n e8xlth4hhnn1200na1unx
qnobcb01dum/mqn1 218 200 1360 navt n e8xlth4hhnn1200na1unx
qpb3[0]/mqn2 219 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[0]/mqp0 220 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[0]/mqp1 221 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[0]/mqp2 222 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpocb1dum/mqp1 223 200 1360 pavt p e8xlth4hdtn1200pa1unx
qpb3[1]/mqn2 224 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[1]/mqp0 225 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[1]/mqp1 226 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[1]/mqp2 227 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[2]/mqn2 228 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[2]/mqp0 229 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[2]/mqp1 230 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[2]/mqp2 231 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb0[0]/mqn2 232 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb0[0]/mqp0 233 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb0[0]/mqp1 234 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb0[0]/mqp2 235 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb3[3]/mqn2 236 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[3]/mqp0 237 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[3]/mqp1 238 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[3]/mqp2 239 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb0[1]/mqn2 240 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb0[1]/mqp0 241 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb0[1]/mqp1 242 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb0[1]/mqp2 243 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qnxcb/mqn0 244 200 2040 navt n e8xltp620tn2000na1unx
qnxcb/mqn1 245 200 2040 navt n e8xltp620tn2000na1unx
qpb3[4]/mqn2 246 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[4]/mqp0 247 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[4]/mqp1 248 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[4]/mqp2 249 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[5]/mqn2 250 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[5]/mqp0 251 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[5]/mqp1 252 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
